Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2022,AUTOMOBILES CITROEN,DIESEL,8514,5.29,4.65,0.65,13.88,139.28,122.31,16.98,13.88,5.32,4.68,0.64,13.7,140.01,123.15,16.87,13.7
2021,SUZUKI MOTOR CORPORATION,PETROL,10632,5.43,4.98,0.44,8.87,123.58,113.51,10.07,8.87,5.32,4.97,0.35,7,121.16,113.23,7.93,7
2021,MERCEDES-BENZ AG,PETROL,74866,9.48,7.87,1.61,20.44,215.98,179.33,36.65,20.44,9.65,8.09,1.56,19.25,219.83,184.34,35.49,19.25
2023,AUTOMOBILES CITROEN,DIESEL,760,5.35,4.65,0.71,15.17,140.81,122.26,18.55,15.17,5.21,4.6,0.61,13.23,137.05,121.04,16.01,13.23
2023,MAZDA,PETROL/ELECTRIC,7651,7.11,1.44,5.67,393.01,162.05,32.87,129.18,393.01,7.16,1.45,5.71,394.22,163.01,32.98,130.03,394.22
2021,AUDI HUNGARIA,PETROL,893,8.75,7.55,1.2,15.89,199.34,172.01,27.33,15.89,8.64,7.53,1.11,14.7,196.76,171.54,25.22,14.7
2022,STELLANTIS AUTO,DIESEL,41083,5.35,4.57,0.78,17.03,140.77,120.28,20.49,17.03,5.33,4.56,0.77,16.79,140.16,120.01,20.15,16.79
2022,HYUNDAI CZECH,PETROL,194,6.6,5.86,0.74,12.65,150.4,133.51,16.89,12.65,6.34,5.76,0.58,10.1,144.42,131.18,13.24,10.1
2021,MERCEDES-BENZ AG,DIESEL,137711,7.19,6.15,1.03,16.77,189.07,161.91,27.16,16.77,7.16,6.16,1,16.18,188.31,162.08,26.23,16.18
2021,PSA,PETROL/ELECTRIC,10954,5.5,1.44,4.06,280.8,125.3,32.9,92.4,280.8,5.68,1.45,4.23,290.95,129.36,33.09,96.27,290.95
2023,KIA SLOVAKIA,DIESEL,347,5.93,5.04,0.89,17.76,156.04,132.51,23.53,17.76,5.81,5.02,0.79,15.63,152.82,132.16,20.66,15.63
2023,BENTLEY,PETROL,190,14.47,12.94,1.53,11.86,329.64,294.68,34.96,11.86,13.97,12.86,1.11,8.66,318.18,292.84,25.35,8.66
2023,BMW GMBH,PETROL,3,13.48,10.08,3.4,33.72,307.11,229.67,77.45,33.72,13.54,10.07,3.47,34.5,308.52,229.39,79.14,34.5
2023,ALPINE,PETROL,300,10.37,6.8,3.57,52.42,236.24,154.99,81.25,52.42,10.29,6.8,3.5,51.43,234.49,154.85,79.64,51.43
2021,SSANGYONG,PETROL,193,6.88,7.68,-0.8,-10.38,156.83,174.99,-18.17,-10.38,6.11,7.7,-1.59,-20.71,139.09,175.42,-36.33,-20.71
2023,HYUNDAI CZECH,PETROL,17,6.83,6.12,0.72,11.68,155.7,139.41,16.29,11.68,6.18,5.86,0.33,5.61,140.87,133.38,7.49,5.61
2021,SAIC MOTOR CORPORATION,PETROL,71,7.76,6.75,1.01,15.01,176.81,153.73,23.07,15.01,7.57,6.75,0.83,12.23,172.53,153.73,18.8,12.23
2022,FORD MOTOR AUSTRALIA,DIESEL,1,11.14,9.69,1.45,14.96,293.15,255,38.15,14.96,11.14,9.69,1.45,14.96,293.15,255,38.15,14.96
2022,PORSCHE,PETROL,11062,12.89,11.01,1.88,17.04,293.6,250.85,42.75,17.04,12.5,10.99,1.51,13.69,284.76,250.46,34.3,13.69
2022,VOLKSWAGEN,DIESEL,128052,6.55,5.58,0.97,17.44,172.45,146.84,25.61,17.44,6.41,5.49,0.92,16.73,168.73,144.55,24.18,16.73
2023,VOLKSWAGEN,DIESEL,31916,6.54,5.57,0.97,17.44,172.19,146.62,25.57,17.44,6.38,5.47,0.91,16.69,167.86,143.85,24.01,16.69
2022,MAZDA,PETROL,14146,6.83,5.87,0.96,16.36,155.49,133.63,21.86,16.36,7.02,6.17,0.85,13.73,159.96,140.65,19.31,13.73
2022,KIA,PETROL/ELECTRIC,1170,4.66,1.25,3.41,272.71,106.17,28.49,77.68,272.71,4.93,1.32,3.61,272.71,112.35,30.14,82.2,272.71
2021,SKODA,PETROL,95114,6.8,5.89,0.9,15.34,154.84,134.26,20.59,15.34,6.76,5.92,0.84,14.18,153.99,134.86,19.13,14.18
2021,BENTLEY,PETROL,373,14.18,12.79,1.38,10.82,322.96,291.44,31.53,10.82,13.77,12.85,0.92,7.16,313.61,292.65,20.96,7.16
2021,SKODA,PETROL/ELECTRIC,11698,4.98,1.14,3.84,336.91,113.35,25.94,87.41,336.91,5.18,1.14,4.04,353.08,118.01,26.05,91.97,353.08
2022,PORSCHE,PETROL/ELECTRIC,2938,10.49,3.12,7.37,236.26,238.86,71.03,167.82,236.26,10.29,3.15,7.15,227.28,234.5,71.65,162.85,227.28
2023,KIA,PETROL,1771,6.05,5.4,0.64,11.92,137.79,123.12,14.67,11.92,6,5.39,0.61,11.31,136.65,122.77,13.88,11.31
2023,AUDI SPORT,DIESEL,19,5.78,4.57,1.21,26.46,152.02,120.21,31.81,26.46,5.62,4.4,1.22,27.61,147.86,115.87,31.99,27.61
2022,HONDA MOTOR CO,PETROL,18288,5.59,5.4,0.18,3.41,127.31,123.11,4.2,3.41,5.69,5.55,0.14,2.54,129.54,126.33,3.21,2.54
2023,MITSUBISHI MOTORS CORPORATION,PETROL/ELECTRIC,28,6.13,2.02,4.11,203.49,139.61,46,93.61,203.49,7.02,2.02,5.01,247.88,160.03,46,114.03,247.88
2021,FIAT GROUP,PETROL/ELECTRIC,8734,6.04,2,4.04,202.11,137.54,45.53,92.01,202.11,6.23,1.99,4.24,212.91,141.87,45.34,96.53,212.91
2021,VOLKSWAGEN,DIESEL,141823,6.55,5.65,0.9,15.97,172.34,148.61,23.73,15.97,6.41,5.55,0.85,15.36,168.57,146.13,22.44,15.36
2022,VOLVO,PETROL,23531,7.98,7.02,0.96,13.72,181.84,159.9,21.94,13.72,7.91,7.09,0.81,11.45,180.13,161.62,18.51,11.45
2021,KIA,PETROL,15352,6.14,5.44,0.7,12.81,139.91,124.02,15.89,12.81,6.06,5.47,0.59,10.83,138.12,124.63,13.49,10.83
2022,KG MOBILITY,PETROL,555,7.29,7.72,-0.43,-5.52,166.1,175.8,-9.7,-5.52,6.41,7.72,-1.31,-16.92,146.03,175.76,-29.73,-16.92
2021,TOYOTA,PETROL,169290,5.49,4.98,0.5,10.11,125,113.53,11.47,10.11,5.57,5.06,0.51,10.06,126.9,115.3,11.6,10.06
2023,STELLANTIS EUROPE,PETROL,13301,6.73,5.23,1.5,28.64,153.25,119.12,34.12,28.64,6.53,5.31,1.22,23.04,148.77,120.91,27.86,23.04
2023,SEAT,DIESEL,4128,6.55,5.37,1.18,21.93,172.39,141.39,31,21.93,6.45,5.3,1.15,21.71,169.64,139.38,30.26,21.71
2021,GEELY,PETROL/ELECTRIC,38,6.35,1.19,5.17,436.06,144.74,27,117.74,436.06,8.18,1.19,7,590.47,186.43,27,159.43,590.47
2021,DACIA,PETROL,67174,6.96,5.55,1.4,25.22,158.45,126.54,31.91,25.22,6.78,5.55,1.22,22.02,154.38,126.52,27.86,22.02
2022,VOLVO,DIESEL,35115,7.28,6.3,0.98,15.52,191.47,165.74,25.73,15.52,7.13,6.26,0.88,13.99,187.65,164.62,23.03,13.99
