Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2023,FERRARI,PETROL/ELECTRIC,427,18.67,6.66,12.01,180.13,425.3,151.82,273.48,180.13,17.37,6.65,10.71,161.04,395.61,151.55,244.06,161.04
2023,STELLANTIS AUTO,PETROL,8555,6.82,5.58,1.24,22.25,155.28,127.02,28.26,22.25,6.68,5.61,1.07,19.13,152.18,127.74,24.43,19.13
2022,MASERATI,PETROL,2351,12.7,9.82,2.88,29.37,289.3,223.63,65.67,29.37,12.4,9.73,2.67,27.44,282.55,221.71,60.84,27.44
2022,MERCEDES-BENZ AG,DIESEL/ELECTRIC,29011,6.18,1.31,4.87,371.07,162.6,34.52,128.08,371.07,6.32,1.33,4.99,376.11,166.15,34.9,131.25,376.11
2021,CHRYSLER,PETROL,15817,8.74,7.33,1.41,19.19,199.05,167.01,32.05,19.19,8.58,7.32,1.25,17.1,195.35,166.82,28.52,17.1
2021,SUBARU,PETROL,326,8.72,8.17,0.56,6.82,198.71,186.03,12.68,6.82,8.72,8.2,0.53,6.42,198.73,186.75,11.98,6.42
2022,STELLANTIS AUTO,PETROL/ELECTRIC,15541,5.33,1.3,4.03,310.95,121.35,29.53,91.82,310.95,5.5,1.31,4.19,319.73,125.23,29.84,95.4,319.73
2023,DACIA,PETROL,125439,6.99,5.51,1.48,26.87,159.22,125.5,33.72,26.87,6.81,5.52,1.29,23.32,155.12,125.79,29.34,23.32
2021,FORD MOTOR COMPANY,PETROL,1250,14.14,11.6,2.54,21.93,322.21,264.26,57.95,21.93,13.88,11.58,2.3,19.86,316.27,263.86,52.41,19.86
2022,MITSUBISHI MOTORS CORPORATION,PETROL/ELECTRIC,339,6.27,2.02,4.25,210.57,142.86,46,96.86,210.57,6.64,2.02,4.62,228.69,151.2,46,105.2,228.69
2022,AUTOMOBILES PEUGEOT,DIESEL,14163,6.33,5.44,0.89,16.38,166.49,143.06,23.43,16.38,6.27,5.41,0.86,15.98,165.03,142.29,22.74,15.98
2021,FERRARI,PETROL/ELECTRIC,216,20.16,6.87,13.3,193.62,459.33,156.44,302.89,193.62,19.17,6.85,12.32,179.99,436.71,155.98,280.74,179.99
2021,SEAT,PETROL/ELECTRIC,16459,4.91,1.34,3.57,266.76,111.78,30.48,81.3,266.76,5.07,1.34,3.73,278.15,115.59,30.57,85.02,278.15
2021,TOYOTA,PETROL/ELECTRIC,6781,3.59,0.98,2.62,268.23,81.82,22.22,59.6,268.23,3.82,0.98,2.84,289.91,86.92,22.29,64.63,289.91
2023,VOLVO,PETROL,5517,8.02,6.84,1.19,17.33,182.81,155.81,26.99,17.33,7.84,6.87,0.97,14.12,178.64,156.54,22.1,14.12
2023,AUTOMOBILES PEUGEOT,DIESEL,2287,6.38,5.56,0.82,14.71,167.93,146.39,21.54,14.71,6.27,5.53,0.74,13.32,164.86,145.48,19.38,13.32
2023,SAIC MOTOR CORPORATION,PETROL,2008,8.07,6.9,1.17,17,183.83,157.12,26.71,17,7.87,6.93,0.94,13.58,179.36,157.91,21.45,13.58
2022,STELLANTIS EUROPE,DIESEL,22616,5.85,4.89,0.97,19.78,153.98,128.56,25.43,19.78,5.81,4.9,0.92,18.71,152.93,128.83,24.1,18.71
2022,FERRARI,PETROL,945,16.58,11.51,5.07,44.09,377.64,262.1,115.55,44.09,15.33,11.31,4.01,35.46,349.14,257.74,91.4,35.46
2021,VOLVO,PETROL/ELECTRIC,62961,6.5,2.26,4.24,188.02,148.02,51.39,96.63,188.02,6.82,2.28,4.54,199.42,155.4,51.9,103.5,199.42
2021,MASERATI,PETROL,791,13.51,10.84,2.67,24.66,307.81,246.91,60.9,24.66,13.27,10.87,2.39,22.03,302.19,247.64,54.55,22.03
2022,GENERAL MOTORS HOLDINGS,PETROL,236,13.61,11.52,2.09,18.19,310.08,262.36,47.72,18.19,13.03,11.16,1.88,16.81,296.89,254.16,42.73,16.81
2021,MAZDA EUROPE,PETROL,682,7.1,5.71,1.4,24.44,161.84,130.05,31.79,24.44,6.2,5.67,0.53,9.34,141.29,129.21,12.07,9.34
2022,AUDI SPORT,PETROL,3983,11.46,10.67,0.78,7.32,260.96,243.17,17.8,7.32,9.07,10.46,-1.39,-13.29,206.62,238.28,-31.67,-13.29
2021,RENAULT,DIESEL,52824,5.98,5.09,0.89,17.44,157.25,133.89,23.36,17.44,5.91,5.09,0.82,16.18,155.46,133.8,21.66,16.18
2023,STELLANTIS EUROPE,PETROL/ELECTRIC,1350,6.62,1.96,4.66,238.04,150.88,44.63,106.24,238.04,6.82,1.96,4.86,247.27,155.33,44.73,110.6,247.27
2021,ALFA ROMEO,DIESEL,8780,7.41,5.85,1.56,26.62,194.91,153.93,40.98,26.62,7.33,5.85,1.48,25.28,192.91,153.99,38.92,25.28
2021,KIA,PETROL/ELECTRIC,1272,4.94,1.57,3.37,214.36,112.62,35.83,76.8,214.36,5.16,1.58,3.57,225.78,117.44,36.05,81.39,225.78
2023,CHRYSLER,PETROL,2397,7.1,5.94,1.15,19.38,161.65,135.41,26.24,19.38,6.95,5.95,1,16.74,158.33,135.63,22.7,16.74
2023,SUBARU,PETROL,63,8.66,8.23,0.43,5.2,197.34,187.59,9.75,5.2,8.36,8.25,0.11,1.3,190.38,187.93,2.44,1.3
2023,HYUNDAI CZECH,DIESEL,5,6.48,5.06,1.41,27.9,170.37,133.2,37.17,27.9,6.12,5.03,1.09,21.71,161.07,132.33,28.73,21.71
